Lat,Lng, RH_201407032100
48.4,-106.8,37.12144262295084
48.0,-106.8,31.30612500000002
47.6,-106.8,32.41765517241381
47.2,-106.8,29.244129032258083
46.8,-106.8,26.95750819672132
46.4,-106.8,22.426412698412697
46.0,-106.8,23.321750000000005
45.6,-106.8,26.524610169491538
45.2,-106.8,26.426412698412708
44.8,-106.8,24.40013114754099
44.4,-106.8,32.76078688524593
43.2,-106.8,19.72799999999999
43.6,-106.8,22.986064516129037
44.0,-106.8,27.712615384615397
42.4,-106.8,15.646032786885227
42.8,-106.8,17.777180327868837
41.2,-106.8,21.061333333333334
41.6,-106.8,15.969935483870945
42.0,-106.8,14.63709090909089
40.4,-106.8,26.029587301587313
40.8,-106.8,27.934349206349225
39.2,-106.8,27.75974603174605
39.6,-106.8,23.140698412698416
40.0,-106.8,26.665500000000012
38.4,-106.8,26.029587301587316
38.8,-106.8,26.74362500000001
37.2,-106.8,30.759250000000016
37.6,-106.8,35.29942857142859
38.0,-106.8,34.38425000000002
36.8,-106.8,28.05107692307694
36.4,-106.8,26.85498412698414
36.0,-106.8,33.61862500000002
35.6,-106.8,26.321750000000012
35.2,-106.8,26.36436363636365
34.8,-106.8,26.651076923076936
34.4,-106.8,26.389538461538475
34.0,-106.8,27.65224242424244
33.6,-106.8,26.512615384615398
33.2,-106.8,29.666461538461558
32.4,-106.8,23.919176470588248
32.8,-106.8,25.854984126984135
31.6,-106.8,24.228
32.0,-106.8,24.242705882352954
48.0,-89.6,68.04050000000002
47.6,-89.6,85.04143283582093
47.2,-89.6,78.8127457627119
46.8,-89.6,50.421548387096806
46.4,-89.6,35.26768253968256
46.0,-89.6,36.21187096774196
45.6,-89.6,37.578000000000024
45.2,-89.6,39.48990476190479
44.4,-89.6,37.34704761904764
44.8,-89.6,38.187016393442654
43.2,-89.6,46.04618181818185
43.6,-89.6,45.482098360655776
44.0,-89.6,41.953806451612934
42.4,-89.6,47.38373770491807
42.8,-89.6,44.91133333333336
41.2,-89.6,49.99665671641795
41.6,-89.6,50.14069841269845
42.0,-89.6,50.71212698412702
40.4,-89.6,51.69521311475413
40.8,-89.6,50.648634920634954
39.2,-89.6,55.315301587301626
39.6,-89.6,56.680380952380986
40.0,-89.6,55.093079365079404
38.4,-89.6,54.16550000000004
38.8,-89.6,54.58514285714289
37.6,-89.6,50.33117460317464
37.2,-89.6,50.280238805970185
38.0,-89.6,52.32175000000004
36.8,-89.6,49.3946666666667
36.4,-89.6,51.7914920634921
36.0,-89.6,53.93089855072468
35.6,-89.6,54.15657142857147
35.2,-89.6,50.69521311475413
34.8,-89.6,48.015878787878826
34.4,-89.6,45.56670967741938
34.0,-89.6,44.32800000000003
33.2,-89.6,41.07720634920638
33.6,-89.6,42.65657142857146
32.4,-89.6,36.87951515151518
32.8,-89.6,37.71329411764708
31.2,-89.6,39.336695652173944
31.6,-89.6,40.38514285714289
32.0,-89.6,38.67715254237291
30.8,-89.6,44.38425000000003
30.4,-89.6,50.510608695652216
30.0,-89.6,59.63425000000004
29.6,-89.6,61.85107692307697
29.2,-89.6,66.88077777777782
28.4,-89.6,72.72800000000004
28.8,-89.6,70.85843478260874
45.2,-72.4,58.228
28.0,-89.6,73.74927659574472
44.8,-72.4,60.63122580645166
44.4,-72.4,62.50577777777782
44.0,-72.4,64.00219354838714
43.6,-72.4,64.91847619047624
43.2,-72.4,67.18701639344266
42.4,-72.4,75.36292063492067
42.8,-72.4,70.80492307692312
41.2,-72.4,79.05612500000004
41.6,-72.4,71.68038095238099
42.0,-72.4,73.85300000000004
40.4,-72.4,96.72800000000001
40.8,-72.4,87.63122580645167
49.2,-122.8,65.978
48.8,-122.8,68.28537704918037
48.4,-122.8,63.74439344262299
48.0,-122.8,61.16348387096779
47.6,-122.8,62.79466666666671
47.2,-122.8,58.02958730158734
46.8,-122.8,54.416524590163974
46.4,-122.8,58.26898360655741
46.0,-122.8,55.19574193548391
45.6,-122.8,50.908327868852496
45.2,-122.8,48.82477419354842
44.8,-122.8,50.458158730158765
44.4,-122.8,48.514885245901674
44.0,-122.8,44.48990476190479
43.6,-122.8,46.20340983606561
43.2,-122.8,48.093079365079404
42.4,-122.8,35.823238095238125
42.8,-122.8,37.69521311475412
41.2,-122.8,26.569269841269858
41.6,-122.8,26.2200634920635
42.0,-122.8,32.870857142857155
40.4,-122.8,20.087374999999994
40.8,-122.8,22.140698412698413
39.2,-122.8,23.134250000000005
39.6,-122.8,24.47403174603176
40.0,-122.8,25.34090322580646
38.4,-122.8,48.44675000000004
38.8,-122.8,27.453806451612916
37.2,-122.8,95.72800000000005
37.6,-122.8,96.3741538461539
38.0,-122.8,75.25925000000004
36.4,-122.8,97.47800000000005
36.8,-122.8,98.46237500000005
35.6,-122.8,94.81623529411769
36.0,-122.8,96.3895384615385
49.2,-105.6,42.978
48.8,-105.6,41.894666666666694
48.4,-105.6,40.15876923076926
48.0,-105.6,34.184140350877215
47.6,-105.6,36.46993548387099
47.2,-105.6,35.444666666666684
46.8,-105.6,31.81890909090911
46.4,-105.6,27.938526315789485
46.0,-105.6,26.50219354838711
45.6,-105.6,24.997841269841278
