Lat,Lng, T_201407031800
46.0,-90.8,71.41542372881356
45.6,-90.8,69.81799999999997
45.2,-90.8,70.65655172413787
44.4,-90.8,72.24800000000005
44.8,-90.8,71.2464285714286
43.2,-90.8,73.14661538461537
43.6,-90.8,71.60818181818178
44.0,-90.8,72.11285714285718
42.4,-90.8,73.0532786885246
42.8,-90.8,72.78343283582093
41.2,-90.8,74.16142857142859
41.6,-90.8,74.06428571428572
42.0,-90.8,73.06288135593212
40.4,-90.8,74.53238805970145
40.8,-90.8,74.84
39.2,-90.8,73.41285714285706
39.6,-90.8,72.36428571428581
40.0,-90.8,72.84312499999992
38.4,-90.8,74.15857142857148
38.8,-90.8,74.51571428571428
37.6,-90.8,73.37857142857135
37.2,-90.8,75.41857142857137
38.0,-90.8,73.22818181818175
36.8,-90.8,77.2528571428571
36.4,-90.8,77.81529411764694
36.0,-90.8,78.36180327868838
35.6,-90.8,79.07000000000001
35.2,-90.8,79.69999999999993
34.8,-90.8,81.65882352941173
34.4,-90.8,82.60142857142853
34.0,-90.8,82.30714285714276
33.2,-90.8,85.68090909090914
33.6,-90.8,83.58999999999996
32.4,-90.8,88.74846153846153
32.8,-90.8,88.38423728813558
31.2,-90.8,91.05687499999995
31.6,-90.8,88.23615384615378
32.0,-90.8,88.78250000000001
30.8,-90.8,91.98043478260867
30.4,-90.8,91.34761194029842
30.0,-90.8,90.3509375
29.6,-90.8,90.15588235294123
29.2,-90.8,86.88250000000004
28.4,-90.8,84.8093442622952
28.8,-90.8,85.0236363636365
45.2,-73.6,77.22500000000001
28.0,-90.8,84.47000000000004
44.8,-73.6,76.54999999999997
44.4,-73.6,76.90129032258062
44.0,-73.6,77.53709677419354
43.2,-73.6,81.29786885245903
43.6,-73.6,79.3385714285714
42.4,-73.6,81.53483870967739
42.8,-73.6,81.33
41.2,-73.6,84.25000000000007
41.6,-73.6,82.13290322580646
42.0,-73.6,81.18999999999997
40.4,-73.6,75.17218181818185
40.8,-73.6,84.11000000000001
39.6,-73.6,76.91
40.0,-73.6,76.085
48.4,-124.0,55.951249999999995
48.0,-124.0,60.47193548387098
47.6,-124.0,59.36899999999999
47.2,-124.0,60.31857142857139
46.8,-124.0,59.0840983606557
46.4,-124.0,59.58278688524591
46.0,-124.0,59.38032258064515
45.6,-124.0,59.95571428571427
45.2,-124.0,61.046393442622886
44.8,-124.0,61.37193548387095
44.4,-124.0,61.938571428571414
44.0,-124.0,65.51193548387094
43.6,-124.0,67.67483870967745
43.2,-124.0,67.22193548387096
42.8,-124.0,65.53571428571428
42.4,-124.0,70.15709677419353
41.2,-124.0,66.87857142857143
41.6,-124.0,67.37857142857142
42.0,-124.0,70.16714285714285
40.4,-124.0,70.31
40.8,-124.0,66.63571428571426
39.2,-124.0,56.09571428571427
39.6,-124.0,52.99571428571428
40.0,-124.0,63.14714285714286
38.4,-124.0,55.4140625
38.8,-124.0,54.913999999999994
37.2,-124.0,57.37470588235292
37.6,-124.0,57.005483870967694
38.0,-124.0,56.276774193548405
48.8,-106.8,76.96806451612899
48.4,-106.8,77.25524590163931
48.0,-106.8,79.66624999999996
47.6,-106.8,78.25999999999996
47.2,-106.8,80.01354838709676
46.8,-106.8,81.90278688524583
46.4,-106.8,85.80428571428575
46.0,-106.8,86.37124999999995
45.6,-106.8,86.54457627118639
45.2,-106.8,86.32428571428572
44.8,-106.8,84.98049180327867
44.4,-106.8,79.87262295081968
43.2,-106.8,81.91754098360659
43.6,-106.8,81.18064516129031
44.0,-106.8,78.65184615384614
42.4,-106.8,82.10934426229502
42.8,-106.8,84.5319672131148
