Lat,Lng, RH_201406062100
35.2,-90.8,62.094878787878685
34.8,-90.8,61.98347058823519
34.4,-90.8,60.418111111111024
34.0,-90.8,60.89430158730149
33.2,-90.8,60.09487878787869
33.6,-90.8,61.30699999999989
32.4,-90.8,51.0762307692307
32.8,-90.8,53.18835593220332
31.2,-90.8,55.35387499999992
31.6,-90.8,50.04546153846147
32.0,-90.8,50.72366666666658
30.8,-90.8,55.27801449275353
30.4,-90.8,56.29207462686558
30.0,-90.8,61.4007499999999
29.6,-90.8,64.8069999999999
29.2,-90.8,73.41811111111099
28.4,-90.8,82.15945901639333
28.8,-90.8,79.17063636363623
45.2,-73.6,55.557
28.0,-90.8,82.21324999999996
44.8,-73.6,55.11652380952373
44.4,-73.6,56.27474193548379
44.0,-73.6,56.54893548387089
43.2,-73.6,47.53650819672126
43.6,-73.6,51.6720793650793
42.4,-73.6,48.097322580645105
42.8,-73.6,48.08477777777772
41.2,-73.6,42.05303174603171
41.6,-73.6,42.38764516129029
42.0,-73.6,45.497476190476135
40.4,-73.6,72.92518181818171
40.8,-73.6,47.00541269841265
39.6,-73.6,83.307
40.0,-73.6,88.057
48.4,-124.0,68.2445
48.0,-124.0,54.17796774193541
47.6,-124.0,56.82366666666658
47.2,-124.0,61.67207936507927
46.8,-124.0,67.29060655737695
46.4,-124.0,66.65126229508186
46.0,-124.0,72.2586129032257
45.6,-124.0,74.37049206349195
45.2,-124.0,67.65126229508188
44.8,-124.0,64.3069999999999
44.4,-124.0,62.449857142857056
44.0,-124.0,52.62958064516122
43.6,-124.0,49.62958064516123
43.2,-124.0,44.64570967741931
42.8,-124.0,35.48160317460317
42.4,-124.0,23.677967741935493
41.2,-124.0,49.814936507936444
41.6,-124.0,36.70382539682538
42.0,-124.0,22.227634920634934
40.4,-124.0,44.37049206349202
40.8,-124.0,54.27525396825389
39.2,-124.0,88.1323968253967
39.6,-124.0,93.00541269841256
40.0,-124.0,61.27525396825385
38.4,-124.0,93.96324999999986
38.8,-124.0,94.33776923076908
37.2,-124.0,90.01288235294118
37.6,-124.0,90.85538709677407
38.0,-124.0,93.1134516129031
48.8,-106.8,38.8876451612903
48.4,-106.8,36.79880327868852
48.0,-106.8,32.52575000000001
47.6,-106.8,40.56562068965515
47.2,-106.8,45.85538709677414
46.8,-106.8,60.29060655737695
46.4,-106.8,69.87842857142846
46.0,-106.8,74.57262499999989
45.6,-106.8,65.98496610169482
45.2,-106.8,66.5133492063491
44.8,-106.8,67.56929508196711
44.4,-106.8,79.94634426229497
43.2,-106.8,44.0610983606557
43.6,-106.8,54.903774193548315
44.0,-106.8,66.27623076923066
42.4,-106.8,27.684049180327882
42.8,-106.8,36.42175409836065
41.2,-106.8,18.703825396825405
41.6,-106.8,14.903774193548397
42.0,-106.8,17.12518181818183
40.4,-106.8,19.83080952380953
40.8,-106.8,20.164142857142867
39.2,-106.8,22.592714285714298
39.6,-106.8,19.751444444444452
40.0,-106.8,21.01012500000001
38.4,-106.8,14.22763492063493
38.8,-106.8,19.07262500000001
37.2,-106.8,13.97887500000001
37.6,-106.8,16.38636507936509
38.0,-106.8,14.635125000000011
36.8,-106.8,12.783923076923086
36.4,-106.8,9.814936507936514
36.0,-106.8,10.463250000000007
35.6,-106.8,8.010125000000004
35.2,-106.8,6.458515151515154
34.8,-106.8,4.753153846153844
