Lat,Lng, T_201406061800
42.8,-73.6,72.99285714285712
41.2,-73.6,74.2757142857143
41.6,-73.6,74.65129032258065
42.0,-73.6,73.75571428571432
40.4,-73.6,64.33290909090907
40.8,-73.6,73.66428571428571
39.6,-73.6,61.97
40.0,-73.6,60.785000000000004
48.4,-124.0,54.11750000000001
48.0,-124.0,58.36419354838708
47.6,-124.0,57.011
47.2,-124.0,58.84428571428572
46.8,-124.0,58.87754098360654
46.4,-124.0,61.87852459016392
46.0,-124.0,59.86806451612902
45.6,-124.0,59.98714285714286
45.2,-124.0,61.73098360655736
44.8,-124.0,62.41999999999994
44.4,-124.0,62.21857142857142
44.0,-124.0,64.87032258064517
43.6,-124.0,64.23451612903227
43.2,-124.0,64.65548387096773
42.8,-124.0,64.15857142857142
42.4,-124.0,70.32838709677421
41.2,-124.0,66.70142857142858
41.6,-124.0,68.93285714285712
42.0,-124.0,72.27000000000002
40.4,-124.0,72.54142857142857
40.8,-124.0,66.9614285714286
39.2,-124.0,55.538571428571444
39.6,-124.0,53.984285714285726
40.0,-124.0,65.59571428571424
38.4,-124.0,53.183749999999996
38.8,-124.0,52.499230769230735
37.2,-124.0,56.02999999999998
37.6,-124.0,55.4087096774193
38.0,-124.0,54.16903225806454
48.8,-106.8,56.15774193548387
48.4,-106.8,57.28999999999998
48.0,-106.8,59.88874999999993
47.6,-106.8,57.77103448275861
47.2,-106.8,56.81677419354842
46.8,-106.8,54.840819672131154
46.4,-106.8,55.418571428571404
46.0,-106.8,53.4734375
45.6,-106.8,52.97915254237288
45.2,-106.8,53.83571428571428
44.8,-106.8,53.23557377049176
44.4,-106.8,52.975901639344265
43.2,-106.8,60.45622950819669
43.6,-106.8,60.25419354838707
44.0,-106.8,57.14323076923076
42.4,-106.8,65.95065573770492
42.8,-106.8,61.046393442622936
41.2,-106.8,66.34714285714284
41.6,-106.8,69.80580645161288
42.0,-106.8,69.22181818181818
40.4,-106.8,63.89571428571427
40.8,-106.8,61.68714285714286
39.2,-106.8,59.044285714285714
39.6,-106.8,64.88142857142856
40.0,-106.8,63.921875
38.4,-106.8,66.53571428571428
38.8,-106.8,60.1784375
37.2,-106.8,67.85375
37.6,-106.8,60.06428571428573
38.0,-106.8,62.0571875
36.8,-106.8,76.57769230769229
36.4,-106.8,79.55000000000004
36.0,-106.8,74.45749999999998
35.6,-106.8,83.90187500000002
35.2,-106.8,86.57818181818183
34.8,-106.8,88.81492307692305
34.4,-106.8,90.75338461538462
34.0,-106.8,91.01818181818184
33.6,-106.8,93.01307692307697
33.2,-106.8,86.18138461538464
32.4,-106.8,92.42176470588234
32.8,-106.8,89.73571428571431
31.6,-106.8,93.74000000000001
32.0,-106.8,93.40117647058827
48.0,-89.6,53.87
47.6,-89.6,42.4279104477612
47.2,-89.6,44.27508474576272
46.8,-89.6,62.66967741935481
46.4,-89.6,74.08428571428573
46.0,-89.6,74.27096774193551
45.6,-89.6,74.58500000000002
45.2,-89.6,74.71857142857142
44.4,-89.6,76.93857142857142
44.8,-89.6,75.20442622950821
43.2,-89.6,78.20272727272717
43.6,-89.6,77.28475409836055
44.0,-89.6,77.65903225806443
42.4,-89.6,77.97229508196713
42.8,-89.6,77.91799999999989
41.2,-89.6,79.5159701492537
41.6,-89.6,80.15857142857145
42.0,-89.6,79.62142857142852
40.4,-89.6,81.77885245901638
40.8,-89.6,80.72428571428573
39.2,-89.6,78.07571428571421
39.6,-89.6,79.45
40.0,-89.6,80.4842857142857
38.4,-89.6,77.98999999999988
38.8,-89.6,77.98999999999988
37.6,-89.6,79.98142857142857
37.2,-89.6,80.01567164179096
38.0,-89.6,79.21624999999993
36.8,-89.6,80.71
36.4,-89.6,78.29285714285723
36.0,-89.6,76.38826086956533
35.6,-89.6,79.2128571428571
35.2,-89.6,83.44606557377047
34.8,-89.6,84.02818181818186
34.4,-89.6,84.76612903225819
34.0,-89.6,85.23984615384629
33.2,-89.6,86.98999999999987
33.6,-89.6,86.28542857142847
32.4,-89.6,89.23181818181821
32.8,-89.6,87.89794117647052
31.2,-89.6,90.93695652173902
31.6,-89.6,90.37142857142867
